label,src_ip,src_port,dst_ip,dst_port,dst2src_bytes,src2dst_bytes,protocol,bidirectional_duration_ms
tcp,192.168.157.201,52607,10.105.10.100,7680,0,198,6,12074
udp,10.105.10.82,60349,239.255.255.250,1900,0,167,17,0
udp,fe80::ddc8:5cac:7e48:f06,546,ff02::1:2,547,0,173,17,0
udp,10.105.10.61,59150,8.8.8.8,53,187,155,17,116
udp,fe80::a861:4965:d154:9a39,53215,ff02::1:3,5355,0,176,17,420
udp,10.105.10.55,53215,224.0.0.252,5355,0,136,17,419
udp,10.105.11.201,60928,224.0.0.252,5355,0,156,17,415
udp,fe80::8db8:8ebc:e236:794f,60928,ff02::1:3,5355,0,196,17,415
udp,10.105.10.6,64803,229.111.112.12,3071,0,3360,17,275418
udp,10.105.10.4,1985,224.0.0.2,1985,0,6986,17,275421
udp,10.105.10.3,1985,224.0.0.2,1985,0,6324,17,274781
http,103.41.69.205,443,10.105.10.61,50528,1512,2380,6,270350
http,10.105.10.61,52203,140.82.112.26,443,1030,695,6,255137
http,10.105.10.61,52482,104.244.42.66,443,297,163,6,29951
udp,10.105.10.110,58512,239.255.255.250,1900,0,868,17,3014
http,10.105.10.61,52480,52.42.63.10,443,7915,7750,6,272233
udp,10.105.11.201,5353,224.0.0.251,5353,0,62916,17,269246
udp,fe80::8db8:8ebc:e236:794f,5353,ff02::fb,5353,0,77792,17,269246
udp,fe80::8db8:8ebc:e236:794f,54572,ff02::1:3,5355,0,196,17,420
udp,10.105.11.201,54572,224.0.0.252,5355,0,156,17,420
udp,fe80::8db8:8ebc:e236:794f,56222,ff02::1:3,5355,0,196,17,420
udp,10.105.11.201,56222,224.0.0.252,5355,0,156,17,419
udp,fe80::8db8:8ebc:e236:794f,51326,ff02::1:3,5355,0,196,17,415
udp,10.105.11.201,51326,224.0.0.252,5355,0,156,17,415
udp,fe80::8db8:8ebc:e236:794f,61178,ff02::1:3,5355,0,196,17,414
udp,10.105.11.201,61178,224.0.0.252,5355,0,156,17,414
udp,fe80::8855:462c:c6de:d6fa,546,ff02::1:2,547,0,471,17,48018
udp,10.105.10.82,57621,10.105.11.255,57621,0,1032,17,265729
udp,10.105.10.107,60441,239.255.255.250,1900,0,868,17,3013
http,10.105.10.61,52021,8.8.4.4,443,14254,7541,17,5365
http,10.105.10.61,62135,216.58.207.238,443,208903,11712,17,15111
http,10.105.10.61,52556,216.58.207.238,443,8237,1144,6,74672
udp,fe80::8db8:8ebc:e236:794f,50389,ff02::1:3,5355,0,196,17,415
udp,10.105.11.201,50389,224.0.0.252,5355,0,156,17,415
udp,fe80::8db8:8ebc:e236:794f,62036,ff02::1:3,5355,0,196,17,415
udp,10.105.11.201,62036,224.0.0.252,5355,0,156,17,415
http,10.105.10.61,62122,142.250.74.174,443,19238,5886,17,3922
http,10.105.10.61,60845,142.250.74.67,443,2471,1682,17,43
http,10.105.10.61,52557,142.250.74.174,443,5798,1144,6,74211
NetBIOS ,10.105.10.55,137,10.105.11.255,137,0,12880,17,269332
udp,fe80::a861:4965:d154:9a39,53447,ff02::1:3,5355,0,176,17,419
udp,10.105.10.55,53447,224.0.0.252,5355,0,136,17,420
udp,fe80::a861:4965:d154:9a39,52420,ff02::1:3,5355,0,176,17,418
udp,10.105.10.55,52420,224.0.0.252,5355,0,136,17,418
http,10.105.10.61,51503,142.250.74.142,443,13564,18307,17,70238
http,10.105.10.61,63758,216.58.211.3,443,6710,4712,17,72199
udp,fe80::8db8:8ebc:e236:794f,63439,ff02::1:3,5355,0,196,17,419
udp,10.105.11.201,63439,224.0.0.252,5355,0,156,17,419
udp,fe80::8db8:8ebc:e236:794f,51639,ff02::1:3,5355,0,196,17,419
