label,src_ip,src_port,dst_ip,dst_port,dst2src_bytes,src2dst_bytes,protocol,bidirectional_duration_ms
imcp,10.0.2.15,0,8.8.8.8,0,32144,32144,1,327713
imcp,10.0.2.15,60972,8.8.8.8,53,92,76,17,58
imcp,10.0.2.15,58548,8.8.8.8,53,216,76,17,59
imcp,10.0.2.15,0,104.77.212.186,0,2156,2156,1,21056
imcp,10.0.2.15,37933,8.8.8.8,53,164,98,17,25
imcp,10.0.2.15,51243,8.8.8.8,53,93,77,17,27
imcp,10.0.2.15,58993,8.8.8.8,53,142,77,17,17
imcp,10.0.2.15,0,199.232.42.217,0,980,980,1,9023
imcp,10.0.2.15,40805,8.8.8.8,53,293,185,17,54
imcp,10.0.2.15,56035,8.8.8.8,53,124,76,17,16
imcp,10.0.2.15,41563,8.8.8.8,53,148,76,17,82
imcp,10.0.2.15,0,18.202.75.72,0,0,1764,1,17394
imcp,10.0.2.15,34030,8.8.8.8,53,113,81,17,67
imcp,10.0.2.15,52939,8.8.8.8,53,143,81,17,24
imcp,10.0.2.15,0,165.160.15.20,0,0,1862,1,18423
